patent_id	compound_id
382158	3
382158	6
382158	20
382158	20
382158	22
382158	22
382158	48
382158	57
382158	65
382158	65
382158	65
382158	68
382158	78
382158	93
382158	113
382158	113
382158	113
382158	125
382158	125
382158	134
382158	149
382158	177
382158	178
382158	221
382158	266
382158	266
382158	321
382158	321
382158	406
382158	608
382158	659
382158	659
382158	668
382158	777
382158	778
382158	785
382158	786
382158	823
382158	842
382158	842
382158	849
382158	1021
382158	1102
382158	1138
382158	1138
382158	1139
382158	1139
382158	1179
382158	1373
382158	1454
382158	1644
382158	1644
382158	2156
382158	2157
382158	2179
382158	2180
382158	2267
382158	2442
382158	2523
382158	2926
382158	3056
382158	3073
382158	3112
382158	3113
382158	3208
382158	3213
382158	4074
382158	4074
382158	4267
382158	4482
382158	4507
382158	4821
382158	4823
382158	5098
382158	5447
382158	5447
382158	5448
382158	5448
382158	5582
382158	5609
382158	5895
382158	7067
382158	7743
382158	9108
382158	14915
382158	15047
382158	15047
382158	15097
382158	15403
382158	15404
382158	15422
382158	15567
382158	15603
382158	15648
382158	15929
382158	16041
382158	16041
382158	16042
382158	16042
382158	16112
382158	16112
382158	16113
382158	16113
382158	16172
382158	16173
382158	17862
382158	19430
382158	19431
382158	20166
382158	20167
382158	20168
382158	23132
382158	23186
382158	23186
382158	23634
382158	23635
382158	25484
382158	29800
382158	33320
382158	35521
382158	35521
382158	35522
382158	35522
382158	36174
382158	36351
382158	36352
382158	36895
382158	37756
382158	41611
382158	66268
382158	81047
382158	81540
382158	93533
382158	98255
382158	125497
382158	126166
382158	126167
382158	126168
382158	127468
382158	127469
382158	127955
382158	127955
382158	127956
382158	127956
382158	127957
382158	127957
382158	176159
382158	176160
382158	176161
382158	180484
382158	246287
421206	3
421206	3
421206	20
421206	268
421206	463
421206	659
421206	782
421206	783
421206	849
421206	1005
421206	1846
421206	3129
421206	3157
421206	3158
421206	3535
421206	4059
421206	5235
421206	5259
421206	5260
421206	6057
421206	7892
421206	8110
421206	8111
421206	8235
421206	9353
421206	20667
421206	27609
421206	36911
421206	17681052
421206	18373148
426490	15
426490	20
426490	37
426490	38
426490	45
426490	50
426490	113
426490	217
426490	268
426490	473
426490	632
426490	778
426490	782
426490	783
426490	842
426490	919
426490	1005
426490	1005
426490	1061
426490	1226
426490	1226
426490	1311
426490	1312
426490	1373
426490	1539
426490	1540
426490	1580
426490	1581
426490	1851
426490	2481
426490	2771
426490	3129
426490	3888
426490	3889
426490	4250
426490	5854
426490	6163
426490	7049
426490	7049
426490	7327
426490	7328
426490	8235
426490	8739
426490	8868
426490	8869
426490	9724
426490	11557
426490	15490
426490	15490
426490	15490
426490	19894
426490	19895
426490	22451
426490	26136
426490	29209
426490	32920
426490	32921
426490	32922
426490	34994
426490	41046
426490	41813
426490	41813
426490	41814
426490	41814
426490	43745
426490	860829
426490	10052729
426490	12120307
1456804	20
1456804	22
1456804	48
1456804	78
1456804	88
1456804	93
1456804	113
1456804	134
1456804	268
1456804	437
1456804	438
1456804	463
1456804	782
1456804	783
1456804	821
1456804	822
1456804	935
1456804	936
1456804	1330
1456804	1373
1456804	1446
1456804	1454
1456804	1580
1456804	1581
1456804	1671
1456804	2006
1456804	2155
1456804	2289
1456804	2442
1456804	2481
1456804	2771
1456804	2797
1456804	2798
1456804	3051
1456804	3095
1456804	3096
1456804	3118
1456804	3129
1456804	3145
1456804	3146
1456804	3230
1456804	3231
1456804	3261
1456804	3348
1456804	3349
1456804	3711
1456804	3712
1456804	4225
1456804	4226
1456804	7327
1456804	7328
1456804	7764
1456804	7820
1456804	7821
1456804	8763
1456804	9353
1456804	12719
1456804	14937
1456804	14985
1456804	14986
1456804	14987
1456804	15109
1456804	15490
1456804	16544
1456804	16545
1456804	19795
1456804	20520
1456804	20676
1456804	21105
1456804	21791
1456804	24938
1456804	25361
1456804	33832
1456804	34994
1456804	81688
1456804	115567
1456804	144325
1456804	144326
1456804	333474
1456804	472753
1456804	472754
1456804	10052729
1456804	12120307
1457796	22
1457796	65
1457796	125
1457796	131
1457796	228
1457796	473
1457796	532
1457796	659
1457796	762
1457796	763
1457796	764
1457796	782
1457796	783
1457796	797
1457796	823
1457796	842
1457796	919
1457796	935
1457796	936
1457796	977
1457796	1005
1457796	1093
1457796	1102
1457796	1191
1457796	1192
1457796	1222
1457796	1851
1457796	2006
1457796	2155
1457796	2601
1457796	2602
1457796	3151
1457796	3294
1457796	3295
1457796	3353
1457796	3354
1457796	3372
1457796	3374
1457796	3432
1457796	3433
1457796	3535
1457796	3657
1457796	3658
1457796	3659
1457796	3816
1457796	3917
1457796	4204
1457796	4219
1457796	4220
1457796	4440
1457796	4486
1457796	4487
1457796	4760
1457796	4813
1457796	5100
1457796	5101
1457796	6317
1457796	6679
1457796	6679
1457796	6881
1457796	8264
1457796	8291
1457796	8353
1457796	8407
1457796	8408
1457796	10031
1457796	10617
1457796	15943
1457796	15944
1457796	15945
1457796	16284
1457796	16742
1457796	17776
1457796	21775
1457796	21775
1457796	21775
1457796	22365
1457796	22366
1457796	23934
1457796	23935
1457796	27213
1457796	27799
1457796	31116
1457796	33983
1457796	34140
1457796	35089
1457796	35423
1457796	38124
1457796	38125
1457796	38218
1457796	39551
1457796	47203
1457796	125070
1457796	125071
1457796	129340
1457796	726251
1457796	726251
1457796	726252
1457796	726252
1457796	726252
1457796	980578
1457796	1053463
1457796	1683181
1457796	1683181
1457796	1683218
1457796	1683218
1457796	2830974
1457796	3640780
1457796	3642183
1457796	3644035
1457796	3644645
1494629	2
1494629	5
1494629	6
1494629	6
1494629	20
1494629	20
1494629	20
1494629	31
1494629	31
1494629	32
1494629	32
1494629	37
1494629	57
1494629	78
1494629	88
1494629	93
1494629	126
1494629	127
1494629	178
1494629	221
1494629	239
1494629	268
1494629	268
1494629	290
1494629	336
1494629	385
1494629	463
1494629	469
1494629	487
1494629	493
1494629	608
